SRX	NAME	SPECIES	BP	COVERAGE (BASED OFF 758704870BP REFERENCE)
SRR26170179	Pvel	pvel	30606147900	40.3x
SRR6364199	Pla_SM	plat	27048773148	35.7x
SRR6364201	Pla_Fld	plat	26623079686	35.1x
SRR6364204	Pla_Flo	plat	26449924060	34.9x
SRR6364197	Pla_Olm	plat	28628154628	37.7x
SRR6364203	Pla_Cha	plat	19481509318	25.7x
SRR5297354	Pla_Tam	plat	20861705800	27.5x
SRR8785608	Pla_Flo1	plat	5209727700	6.87x
SRR8785609	Pla_Flo1	plat	5219621400	6.88x
SRR8785612	Pla_Flo1	plat	5207618100	6.86x
SRR8785613	Pla_Flo1	plat	5078616300	6.69x
SRR8785630	Pla_Flo2	plat	5368702500	7.08x
SRR8785715	Pla_Flo2	plat	5673580250	7.48x
SRR8785716	Pla_Flo2	plat	5652656750	7.45x
SRR8785719	Pla_Flo2	plat	5359235000	7.06x
SRR8785482	Pla_Flo3	plat	3593900000	4.74x
SRR8785530	Pla_Flo3	plat	4222367100	5.57x
SRR8785558	Pla_Flo3	plat	4170401100	5.50x
SRR8785559	Pla_Flo3	plat	4167726300	5.49x
SRR8785560	Pla_Flo4	plat	4955850000	6.53x
SRR8785571	Pla_Flo4	plat	5137944000	6.77x
SRR8785804	Pla_Flo4	plat	5027588100	6.63x
SRR8785805	Pla_Flo4	plat	5019159300	6.63x
SRR8785550	Pla_Flo5	plat	4966869250	6.55x
SRR8785551	Pla_Flo5	plat	5809764750	7.66x
SRR8785552	Pla_Flo5	plat	5457325750	7.19x
SRR8785553	Pla_Flo5	plat	5449108250	7.18x
SRR8785481	Pla_Flo6	plat	5024854800	6.62x
SRR8785483	Pla_Flo6	plat	5023312800	6.62x
SRR8785484	Pla_Flo6	plat	5010302700	6.60x
SRR8785485	Pla_Flo6	plat	5021629800	6.62x
SRR20897184	Pla_Flo0	plat	22834320868	30.1x
SRR1997779	Pfo_Tan-1	pfor	10689044000	14.1x
SRR1997775	Pfo_Tan-2	pfor	8592376600	11.3x
SRR1997780	Pfo_Tan-3	pfor	8640178800	11.4x
SRR1997782	Pfo_Tan-4	pfor	9807571200	12.9x
SRR1997778	Pfo_Vic-1	pfor	9018658800	11.9x
SRR1999418	Pfo_Cha	pfor	9562254200	12.6x
SRR2014292	Pfo_Gua	pfor	10640615200	14.0x
SRR1997537	Pfo_Bar-2	pfor	10153586600	13.4x
SRR1997466	Pfo_D1	pfor	2434211800	3.21x
SRR1997528	Pfo_D1	pfor	2440468000	3.22x
SRR1997533	Pfo_D1	pfor	2454595400	3.24x
SRR1997457	Pfo_Olm	pfor	2028280400	2.67x
SRR1997522	Pfo_Olm	pfor	2033740600	2.68x
SRR1999284	Pfo_Olm	pfor	2044996000	2.70x
SRR1997525	Pfo_Bar-3	pfor	2491917000	3.28x
SRR1997532	Pfo_Bar-3	pfor	2487945600	3.28x
SRR1999287	Pfo_Bar-3	pfor	2469335600	3.25x
SRR1997464	Pfo_Br	pfor	2458875400	3.24x
SRR1997530	Pfo_Br	pfor	2454720600	3.24x
SRR1999286	Pfo_Br	pfor	2456634000	3.24x
SRR1997518	Pfo_SM	pfor	2054269400	2.71x
SRR1999251	Pfo_SM	pfor	2048671200	2.70x
SRR1999282	Pfo_SM	pfor	2058448000	2.71x
SRR1997458	Pfo_nBr-1	pfor	2444210400	3.22x
SRR1997529	Pfo_nBr-1	pfor	2434884800	3.21x
SRR1999288	Pfo_nBr-1	pfor	2451403800	3.23x
SRR1997521	Pfo_Vic-2	pfor	1895026400	2.50x
SRR1997523	Pfo_Vic-2	pfor	1894550800	2.50x
SRR1999290	Pfo_Vic-2	pfor	1885380000	2.48x
SRR1997526	Pfo_nBr-2	pfor	2162549800	2.85x
SRR1997535	Pfo_nBr-2	pfor	2169244200	2.86x
SRR1999387	Pfo_nBr-2	pfor	2174148400	2.87x
SRR1997459	Pfo_Lim	pfor	2423292600	3.19x
SRR1997527	Pfo_Lim	pfor	2430161200	3.20x
SRR1999283	Pfo_Lim	pfor	2432532400	3.21x
SRR1997456	Pfo_Pad	pfor	2139895200	2.82x
SRR1997519	Pfo_Pad	pfor	2132322000	2.81x
SRR1999285	Pfo_Pad	pfor	2160789000	2.85x
SRR1997531	Pfo_Man	pfor	2770154400	3.65x
SRR1997536	Pfo_Man	pfor	2762443400	3.64x
SRR1999289	Pfo_Man	pfor	2756587000	3.63x
SRR6364198	Pme_Cav	pmex	19151005048	25.2x
SRR6364207	Pme_Azu	pmex	24354175430	32.1x
SRR6364205	Pme_Gua	pmex	27755157188	36.6x
SRR6364202	Pme_Ver	pmex	24392977598	32.2x
SRR5297333	Pme_Cha	pmex	20004147800	26.4x
SRR7225851	Pme_Pic1	pmex	46948996600	61.9x
SRR7225852	Pme_Puy	pmex	34401039200	45.3x
SRR7225853	Pme_Tac	pmex	23336093200	30.8x
SRR7225858	Pme_Ixt	pmex	37624331600	49.6x
SRR7225859	Pme_Pic2	pmex	35249737400	46.5x
SRR20727360	Pret	pret	47451394546	62.5x
SRR24465311	Pret_B08	pret
SRR24465317	Pret_E09	pret
SRR24465323	Pret_B09	pret
SRR24465326	Pret_H08	pret
SRR24465339	Pret_B07	pret





